date,value
2023-11-29,1699.59
2023-11-28,1702.69
2023-11-27,1702.69
2023-11-26,1699.86
2023-11-25,1699.86
2023-11-24,1699.86
2023-11-23,1699.86
2023-11-22,1699.86
2023-11-21,1699.86
2023-11-20,1698.09
2023-11-19,1692.87
2023-11-18,1688.37
2023-11-17,1691.22
2023-11-16,1699.48
2023-11-15,1701.8
2023-11-14,1703.13
2023-11-13,1702.23
2023-11-12,1701.33
2023-11-11,1699.69
2023-11-10,1697.21
2023-11-09,1697.92
2023-11-08,1698.56
2023-11-07,1702.11
2023-11-06,1700.33
2023-11-05,1778.53
2023-11-04,1689.13
2023-11-03,1689.13
2023-11-02,1696.04
2023-11-01,1689.22
2023-10-31,1689.22
2023-10-30,1689.22
2023-10-29,1701.73
2023-10-28,1701.73
2023-10-27,1690.98
2023-10-26,1690.98
2023-10-25,1690.68
2023-10-24,1690.52
2023-10-23,1690.52
2023-10-22,1688.95
2023-10-21,1695.25
2023-10-20,1695.25
2023-10-19,1692.71
2023-10-18,1690.52
2023-10-17,1692.32
2023-10-16,1691.98
2023-10-15,1329.1
2023-10-14,1695.17
2023-10-13,1689.91
2023-10-12,1691.17
2023-10-11,1698.39
2023-10-10,1697.73
2023-10-09,1689.99
2023-10-08,1694.63
2023-10-07,1699.48
2023-10-06,1699.16
2023-10-05,1697.31
2023-10-04,1693.38
2023-10-03,1691.38
2023-10-02,1693
2023-10-01,1712.68
2023-09-30,1704.84
2023-09-29,1704.84
2023-09-28,1710.6
2023-09-27,1693.98
2023-09-26,1699.62
2023-09-25,1699.62
2023-09-24,1698.02
2023-09-23,1699.62
2023-09-22,1699.62
2023-09-21,1699.62
2023-09-20,1699.62
2023-09-19,1699.62
2023-09-18,1699.62
2023-09-17,1699.62
2023-09-16,1699.62
2023-09-15,1703.98
2023-09-14,1703.98
2023-09-13,1703.98
2023-09-12,1713.36
2023-09-11,1713.36
2023-09-10,1715.5
2023-09-09,1715.5
2023-09-08,1713.29
2023-09-07,1713.29
2023-09-06,1713.29
2023-09-05,1713.72
2023-09-04,1714.79
2023-09-03,1714.79
2023-09-02,1712.88
2023-09-01,1712.88
